attacker,Elantrians,Inquisitors,vile 17th Sharders
,Scadrians,Abominations of all good,
weapon,Sabertooth kittens,chainsaw wielding sharks,
,poky sticks,bazookas,
rift,the great tear in the air,a hole in the ground,17th shard vault
powers,Shapeshifting,Telekinesis,
,Mindcontrol,Summoning,
terrorists,Communists,Islamists,
,Animal Murder Activists,Nationalists,
bomb,Dynamite bomb,Dirty bomb,
,Nuclear bomb,Chemical weapons bomb,
plague,Bird flu,Malaria,
,HIV,Black Death,
splinters,seon,skaze,
,divine breath,spren,
,unmade,cognitive shadows,
weather,tornados,forestfires,
,hail,acid rain,
cosmereweather,black mist,highstorm,
,everstorm,earthquake,
magicpeople,Windrunners,Voidbringers,
,Inquisitors,Kandra,
,Dakhor monks,,
