Invasion,Stages,Increase,1,Damage,0,,,,
,,Increase,1,Damage,Severity,Time,180,,
,Endstage,Increase,1,Damage,Severity,,,,
,Initial Severity,1,3,,,,,,
,Attacks,Attack,Manipulate,,,,,,
,Defeated,Attack,,,,,,,
,,Manipulate,Gain,Soldier,,,,,
,Victorious,Attack,,,,,,,
,,Manipulate,Lose,All,,,,,
,Hidden,0,,,,,,,
,Reveals On,0,,,,,,,
,Text,GenericInvasion,,,,,,,
Pupating Chasmfiend,Stages,Increase,0,Damage,0,Time,60,,
,,Increase,0,Damage,0,Time,60,,
,,Increase,0,Damage,0,Time,60,,
,,Increase,0,Damage,0,Time,60,,
,,Increase,9,Damage,0,Time,60,,
,Endstage,Increase,0,Damage,Severity,Time,180,,
,Initial Severity,1,2,,,,,,_
,Attacks,Attack,,,,,,,
,Defeated,Attack,,,,,,,
,Victorious,Attack,,,,,,,
,Hidden,1,,,,,,,
,Reveals On,9,,,,,,,
,Text,PupatingFiend,,,,,,,
Hoid Invasion,Stages,Increase,1,Damage,0,,,,
,,Increase,1,Damage,1,Time,90,,
,Endstage,Increase,1,Damage,Severity,Time,300,,
,Initial Severity,1,6,,,,,,
,Attacks,Attack,Manipulate,,,,,,
,Defeated,Attack,,,,,,,
,,Manipulate,Gain,Mistborn,,,,,
,Victorious,Attack,,,,,,,
,,Manipulate,Lose,All,,,,,
,Hidden,0,,,,,,,
,Reveals On,0,,,,,,,
,Text,WildHoid,,,,,,,
Terrorists,Stages,Increase,1,Damage,1,,,,
,,Increase,1,Damage,1,Time,190,,
,Endstage,Increase,1,Damage,Severity,Time,500,,
,Initial Severity,1,3,,,,,,
,Attacks,Attack,,,,,,,
,Defeated,Attack,,,,,,,
,Victorious,Attack,,,,,,,
,Hidden,1,,,,,,,
,Reveals On,3,,,,,,,
,Text,Terrorists,,,,,,,
Plague,Stages,Increase,1,Damage,0,Time,120,,
,,Increase,Severity,Damage,2,Time,120,,
,,Increase,Severity,Damage,2,Time,120,,
,,Increase,Severity,Damage,2,Time,120,,
,,Increase,Severity,Damage,Severity,Time,120,,
,,Increase,Severity,Damage,Severity,Time,120,,
,Endstage,Increase,0,Damage,Severity,Time,200,,
,Initial Severity,1,2,,,,,,
,Attacks,Quarantine,Shoot,,,,,,
,Defeated,Shoot,Damage,10,,,,,
,,Quarantine,,,,,,,
,Victorious,Shoot,Damage,5,,,,,
,,Quarantine,,,,,,,
,Hidden,0,,,,,,,
,Reveals On,0,,,,,,,
,Text,Plague,HoidPlague,,,,,,
Storm,Stages,Increase,1,Damage,0,Time,120,Dissolve,0.3
,Endstage,Increase,1,Damage,Severity,Time,120,Dissolve,0.3
,Initial Severity,1,5,,,,,,
,Attacks,Contain,,,,,,,
,Defeated,Contain,Nodamage,1,,,,,
,Victorious,Contain,Advance,1,,,,,
,Hidden,0,,,,,,,
,Reveals On,0,,,,,,,
,Text,Storm,Hoidstorm,,,,,,
